"Ssite","SID","SSID","Rep","Trtmt","TrtmtCode","Pres_Abs","Size1","Size2","SizeFlw","SizeH","BranchesH","LTFrt","WetWtAll","DryWtAll","WetWtFrt","DryWtFrt","DateH","WCAll","WCFrt","FlwH","Herbivory","DateFlw","JDateFlw","BranchesFlw","DateFrt","JDateFrt","DFlw","FlwDuration","LogSizeH","sqrtSizeH","rankSizeH","LogBranchesH","sqrtBranchesH","rankBranchesH","LogLTFrt","sqrtLTFrt","rankLTFrt","LogWetWtAll","sqrtWetWtAll","rankWetWtAll","LogDryWtAll","sqrtDryWtAll","rankDryWtAll","LogWetWtFrt","sqrtWetWtFrt","rankWetWtFrt","LogDryWtFrt","sqrtDryWtFrt","rankDryWtFrt","LogWCAll","sqrtWCAll","rankWCAll","LogWCFrt","sqrtWCFrt","rankWCFrt","WCAll2","WCFrt2"
"AR","112","AR112","1","1","B","2",8.2,31.2,NA,32.4,3,13,4.33,0.57,2.02,0.24,"26-Jul-16",3.76,1.78,0,0,NA,NA,NA,NA,NA,NA,NA,1.52374646681156,5.73585215987999,91,0.602059991327962,1.87082869338697,105,1.14612803567824,3.67423461417477,99,0.726727209026572,2.19772609758359,107.5,0.195899652409234,1.03440804327886,81.5,0.480006942957151,1.58745078663875,129,0.0934216851622351,0.860232526704263,110,0.677606952720493,2.06397674405503,113.5,0.444044795918076,1.50996688705415,133,86.8360277136259,88.1188118811881
"AR","4","AR4","1","2","C","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233,NA,NA,233,NA,NA,233,NA,NA,233,NA,NA,233,NA,NA,233,NA,NA,233,NA,NA,233,NA,NA,233,NA,NA
"AR","6","AR6","1","2","C","2",13.5,37,NA,37.5,5,13,6.06,0.7,2.41,0.23,"26-Jul-16",5.36,2.18,0,0,NA,NA,NA,NA,NA,NA,NA,1.5854607295085,6.16441400296898,162,0.778151250383644,2.34520787991171,158,1.14612803567824,3.67423461417477,99,0.848804701051804,2.56124969497314,170,0.230448921378274,1.09544511501033,114,0.532754378992498,1.7058722109232,163,0.0899051114393979,0.854400374531753,104.5,0.803457115648414,2.42074368738204,175,0.502427119984433,1.63707055437449,169.5,88.4488448844885,90.4564315352697
"AR","9","AR9","1","2","C","2",6.2,29.5,NA,33.5,6,19,7.13,1.04,2.13,0.31,"02-Aug-16",6.09,1.82,0,0,NA,NA,NA,NA,NA,NA,NA,1.53781909507327,5.8309518948453,104,0.845098040014257,2.54950975679639,180.5,1.30102999566398,4.41588043316392,162.5,0.910090545594068,2.76224546338663,195,0.309630167425899,1.24096736459909,179,0.495544337546448,1.62172747402269,138.5,0.117271295655764,0.9,142.5,0.850646235183066,2.56709953059869,197,0.450249108319361,1.52315462117278,137,85.413744740533,85.4460093896714
"AR","12","AR12","1","2","C","2",3.1,21.5,NA,29.1,3,13,3.4,0.47,1.16,0.12,"02-Aug-16",2.93,1.04,0,0,NA,NA,NA,NA,NA,NA,NA,1.47856649559384,5.44058820349418,55.5,0.602059991327962,1.87082869338697,105,1.14612803567824,3.67423461417477,99,0.643452676486187,1.97484176581315,71,0.167317334748176,0.98488578017961,59.5,0.334453751150931,1.28840987267251,64,0.0492180226701817,0.787400787401181,43,0.594392550375427,1.85202591774521,76,0.309630167425899,1.24096736459909,71,86.1764705882353,89.6551724137931
"AR","14","AR14","1","2","C","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234,NA,NA,234,NA,NA,234,NA,NA,234,NA,NA,234,NA,NA,234,NA,NA,234,NA,NA,234,NA,NA,234,NA,NA
"AR","114","AR114","1","2","C","2",4.4,24.2,NA,36.7,3,26,7.77,0.88,2.9,0.25,"05-Aug-16",6.89,2.65,0,0,NA,NA,NA,NA,NA,NA,NA,1.57634135020579,6.09918027279076,147.5,0.602059991327962,1.87082869338697,105,1.43136376415899,5.1478150704935,201.5,0.94299959336604,2.87576076890968,208,0.27415784926368,1.17473401244707,155,0.591064607026499,1.84390889145858,189,0.0969100130080564,0.866025403784439,116,0.89707700320942,2.71845544381364,214,0.562292864456475,1.77482393492988,199.5,88.6743886743887,91.3793103448276
"AR","4","AR4","1","0","D","1",0,0.5,NA,5.8,1,0,0.36,0.05,0,0,"08-Aug-16",0.31,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.832508912706236,2.50998007960223,2,0.301029995663981,1.22474487139159,60.5,0,0.707106781186548,5.5,0.133538908370217,0.92736184954957,3,0.0211892990699381,0.741619848709566,4,0,0.707106781186548,5.5,0,0.707106781186548,5.5,0.117271295655764,0.9,3,0,0.707106781186548,5.5,86.1111111111111,NA
"AR","6","AR6","1","0","D","2",10,31,NA,37.4,3,12,4.74,0.64,1.88,0.19,"02-Aug-16",4.1,1.69,0,0,NA,NA,NA,NA,NA,NA,NA,1.58433122436753,6.15629758864855,160,0.602059991327962,1.87082869338697,105,1.11394335230684,3.53553390593274,87,0.758911892397974,2.28910462845192,121.5,0.214843848047698,1.06770782520313,100,0.459392487759231,1.54272486205415,116,0.0755469613925307,0.830662386291807,87,0.707570176097936,2.14476105895272,128.5,0.429752280002408,1.47986485869487,127,86.4978902953586,89.8936170212766
"AR","12","AR12","1","0","D","2",9.8,32.1,NA,39.7,2,18,6.65,0.95,2.77,0.3,"05-Aug-16",5.7,2.47,0,0,NA,NA,NA,NA,NA,NA,NA,1.60959440922522,6.34034699365894,179,0.477121254719662,1.58113883008419,80,1.27875360095283,4.30116263352131,155,0.883661435153618,2.67394839142419,184,0.290034611362518,1.20415945787923,166.5,0.576341350205793,1.80831413200251,180.5,0.113943352306837,0.894427190999916,136.5,0.826074802700826,2.48997991959775,187,0.540329474790874,1.72336879396141,187.5,85.7142857142857,89.1696750902527
"AR","14","AR14","1","0","D","2",10.8,30.4,NA,30.8,0,9,4.02,0.52,1.71,0.2,"26-Jul-16",3.5,1.51,0,0,NA,NA,NA,NA,NA,NA,NA,1.50242711998443,5.59464029227975,75,0,0.707106781186548,25.5,1,3.08220700148449,49.5,0.700703717145019,2.12602916254693,96.5,0.181843587944773,1.00995049383621,69,0.432969290874406,1.48660687473185,106.5,0.0791812460476248,0.836660026534076,91,0.653212513775344,2,102,0.399673721481038,1.41774468787578,112,87.0646766169154,88.3040935672515
"AR","106","AR106","1","0","D","2",12,34.5,NA,34.2,3,14,6.45,0.8,2.98,0.37,"26-Jul-16",5.65,2.61,0,0,NA,NA,NA,NA,NA,NA,NA,1.54654266347813,5.89067059000926,109.5,0.602059991327962,1.87082869338697,105,1.17609125905568,3.80788655293195,112.5,0.872156272748293,2.63628526529281,176.5,0.255272505103306,1.14017542509914,136,0.599883072073688,1.86547581061776,193.5,0.136720567156407,0.932737905308881,165.5,0.822821645303105,2.47991935352745,184,0.557507201905658,1.76351920885484,195,87.5968992248062,87.5838926174497
"LH","21","LH21","1","0.5","A","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,NA,NA,235,NA,NA,235,NA,NA,235,NA,NA,235,NA,NA,235,NA,NA,235,NA,NA,235,NA,NA,235,NA,NA
"LH","26","LH26","1","0.5","A","2",2.4,23,NA,43.6,7,16,5.11,0.71,1.28,0.12,"05-Aug-16",4.4,1.16,0,0,NA,NA,NA,NA,NA,NA,NA,1.64933485871214,6.6407830863536,213.5,0.903089986991944,2.73861278752583,198.5,1.23044892137827,4.06201920231798,138,0.786041210242554,2.3685438564654,138,0.232996110392154,1.1,116,0.357934847000454,1.33416640641263,73,0.0492180226701817,0.787400787401181,43,0.732393759822969,2.21359436211787,143.5,0.334453751150931,1.28840987267251,79,86.105675146771,90.625
"LH","28","LH28","1","0.5","A","2",11.1,40.1,NA,44,5,15,4.53,0.76,1.7,0.31,"29-Jul-16",3.77,1.39,0,0,NA,NA,NA,NA,NA,NA,NA,1.65321251377534,6.67083203206317,215.5,0.778151250383644,2.34520787991171,158,1.20411998265592,3.93700393700591,126.5,0.742725131304698,2.24276614920058,113,0.24551266781415,1.12249721603218,125.5,0.431363764158987,1.48323969741913,104.5,0.117271295655764,0.9,142.5,0.678518379040114,2.06639783197718,115,0.378397900948138,1.37477270848675,102,83.2229580573951,81.7647058823529
"LH","30","LH30","1","0.5","A","2",10.7,37.7,NA,38.6,5,20,6.71,1.04,2.21,0.32,"26-Jul-16",5.67,1.89,0,0,NA,NA,NA,NA,NA,NA,NA,1.59769518592551,6.25299928034539,170.5,0.778151250383644,2.34520787991171,158,1.32221929473392,4.52769256906871,169,0.887054378050957,2.68514431641951,185,0.309630167425899,1.24096736459909,179,0.506505032404872,1.64620776331543,146,0.12057393120585,0.905538513813742,147,0.824125833916549,2.48394846967484,185,0.460897842756548,1.54596248337403,148,84.5007451564829,85.5203619909502
"LH","36","LH36","1","0.5","A","2",3.3,17.4,NA,29.1,3,18,6.49,1.03,2.07,0.26,"08-Aug-16",5.46,1.81,0,0,NA,NA,NA,NA,NA,NA,NA,1.47856649559384,5.44058820349418,55.5,0.602059991327962,1.87082869338697,105,1.27875360095283,4.30116263352131,155,0.874481817699467,2.64386081328046,178,0.307496037913213,1.2369316876853,175,0.487138375477186,1.60312195418814,134,0.100370545117563,0.871779788708135,121,0.810232517995084,2.44131112314674,179,0.44870631990508,1.51986841535707,135.5,84.1294298921417,87.4396135265701
"LH","21","LH21","1","1","B","2",13.5,45.7,NA,43.2,6,27,8.27,1.08,2.88,0.35,"26-Jul-16",7.19,2.53,0,0,NA,NA,NA,NA,NA,NA,NA,1.64542226934909,6.61059755241536,210,0.845098040014257,2.54950975679639,180.5,1.44715803134222,5.24404424085076,205,0.967079734144497,2.96141857899217,217,0.318063334962762,1.25698050899765,183.5,0.588831725594207,1.83847763108502,188,0.130333768495006,0.921954445729289,156.5,0.913283901760419,2.77308492477241,219,0.547774705387823,1.74068951855292,191,86.9407496977025,87.8472222222222
"LH","26","LH26","1","1","B","2",4.9,25,NA,36,2,6,2.45,0.4,0.51,0.07,"05-Aug-16",2.05,0.44,0,0,NA,NA,NA,NA,NA,NA,NA,1.56820172406699,6.04152298679729,135,0.477121254719662,1.58113883008419,80,0.845098040014257,2.54950975679639,23.5,0.537819095073274,1.71755640373177,40,0.146128035678238,0.948683298050514,43.5,0.178976947293169,1.00498756211209,25,0.0293837776852097,0.754983443527075,27,0.484299839346786,1.59687194226713,40,0.15836249209525,0.969535971483266,24,83.6734693877551,86.2745098039216
"LH","28","LH28","1","1","B","2",9.5,34.4,NA,39.4,4,14,4.14,0.66,1.4,0.18,"05-Aug-16",3.48,1.22,0,0,NA,NA,NA,NA,NA,NA,NA,1.6063813651106,6.3166446789415,177,0.698970004336019,2.12132034355964,133,1.17609125905568,3.80788655293195,112.5,0.710963118995276,2.1540659228538,101.5,0.220108088040055,1.0770329614269,106.5,0.380211241711606,1.37840487520902,84,0.0718820073061254,0.824621125123532,78.5,0.651278013998144,1.994993734326,101,0.346352974450639,1.3114877048604,84.5,84.0579710144928,87.1428571428571
"LH","130","LH130","1","1","B","2",13.8,42,NA,37.4,2,17,5.6,0.76,2.29,0.25,"26-Jul-16",4.84,2.04,0,0,NA,NA,NA,NA,NA,NA,NA,1.58433122436753,6.15629758864855,160,0.477121254719662,1.58113883008419,80,1.25527250510331,4.18330013267038,146,0.819543935541869,2.46981780704569,158,0.24551266781415,1.12249721603218,125.5,0.517195897949974,1.67032930884901,153,0.0969100130080564,0.866025403784439,116,0.766412847112399,2.31084400165827,158,0.482873583608754,1.59373774505092,161,86.4285714285714,89.0829694323144
"LH","136","LH136","1","1","B","2",8,38.5,NA,39.2,5,24,5.53,1.14,2.34,0.51,"08-Aug-16",4.39,1.83,0,0,NA,NA,NA,NA,NA,NA,NA,1.60422605308447,6.30079360080935,176,0.778151250383644,2.34520787991171,158,1.39794000867204,4.94974746830583,194,0.814913181275074,2.45560583156173,152,0.330413773349191,1.28062484748657,196.5,0.523746466811564,1.68522995463527,157.5,0.178976947293169,1.00498756211209,211.5,0.731588765186739,2.2113344387496,142,0.45178643552429,1.52643375224737,138.5,79.3851717902351,78.2051282051282
"LH","21","LH21","1","2","C","2",3,27.7,NA,42.3,8,22,6.54,0.79,2.24,0.22,"05-Aug-16",5.75,2.02,0,0,NA,NA,NA,NA,NA,NA,NA,1.63648789635337,6.54217089351845,203,0.954242509439325,2.91547594742265,211,1.36172783601759,4.74341649025257,186,0.877371345869774,2.65329983228432,180,0.252853030979893,1.13578166916005,135,0.510545010206612,1.65529453572468,148.5,0.0863598306747482,0.848528137423857,99.5,0.829303772831025,2.5,188,0.480006942957151,1.58745078663875,159,87.9204892966361,90.1785714285714
"LH","26","LH26","1","2","C","2",8.7,40.2,NA,43.4,5,21,5.71,0.81,1.97,0.26,"26-Jul-16",4.9,1.71,0,0,NA,NA,NA,NA,NA,NA,NA,1.64738297011462,6.62570750939098,211.5,0.778151250383644,2.34520787991171,158,1.34242268082221,4.63680924774785,178,0.826722520168992,2.49198715887542,160,0.257678574869184,1.14455231422596,138,0.472756449317212,1.57162336455017,125.5,0.100370545117563,0.871779788708135,121,0.770852011642144,2.32379000772445,162.5,0.432969290874406,1.48660687473185,128,85.8143607705779,86.8020304568528
"LH","28","LH28","1","2","C","2",11.4,32.9,NA,33,0,9,2.53,0.33,0.96,0.11,"26-Jul-16",2.2,0.85,0,0,NA,NA,NA,NA,NA,NA,NA,1.53147891704226,5.78791845139511,97.5,0,0.707106781186548,25.5,1,3.08220700148449,49.5,0.547774705387823,1.74068951855292,44,0.123851640967086,0.91104335791443,31,0.292256071356476,1.20830459735946,50,0.0453229787866575,0.781024967590665,39,0.505149978319906,1.6431676725155,43.5,0.267171728403014,1.16189500386223,52,86.9565217391304,88.5416666666667
"LH","30","LH30","1","2","C","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236,NA,NA,236,NA,NA,236,NA,NA,236,NA,NA,236,NA,NA,236,NA,NA,236,NA,NA,236,NA,NA,236,NA,NA
"LH","36","LH36","1","2","C","2",8.1,28.9,NA,34.5,0,18,3.76,0.57,1.35,0.15,"02-Aug-16",3.19,1.2,0,0,NA,NA,NA,NA,NA,NA,NA,1.55022835305509,5.91607978309962,114.5,0,0.707106781186548,25.5,1.27875360095283,4.30116263352131,155,0.677606952720493,2.06397674405503,85,0.195899652409234,1.03440804327886,81.5,0.371067862271736,1.36014705087354,78,0.0606978403536116,0.806225774829855,58,0.622214022966295,1.92093727122985,85,0.342422680822206,1.30384048104053,82,84.8404255319149,88.8888888888889
"LH","21","LH21","1","0","D","2",9.9,29.2,NA,36,3,14,4.01,0.77,0.38,0.06,"08-Aug-16",3.24,0.32,0,0,NA,NA,NA,NA,NA,NA,NA,1.56820172406699,6.04152298679729,135,0.602059991327962,1.87082869338697,105,1.17609125905568,3.80788655293195,112.5,0.699837725867246,2.12367605815953,95,0.247973266361807,1.12694276695846,130.5,0.139879086401236,0.938083151964686,19,0.0253058652647703,0.748331477354788,23,0.627365856592733,1.93390796058137,88.5,0.12057393120585,0.905538513813742,19,80.7980049875312,84.2105263157895
"LH","28","LH28","1","0","D","2",12.3,41.1,NA,45.2,4,21,6.07,1.12,2.22,0.36,"08-Aug-16",4.95,1.86,0,0,NA,NA,NA,NA,NA,NA,NA,1.66464197555613,6.76017751246223,220,0.698970004336019,2.12132034355964,133,1.34242268082221,4.63680924774785,178,0.849419413796899,2.56320112359526,171,0.326335860928751,1.27279220613579,193,0.507855871695831,1.64924225024706,147,0.133538908370217,0.92736184954957,161,0.77451696572855,2.33452350598575,165.5,0.456366033129043,1.53622914957372,142.5,81.5485996705107,83.7837837837838
"LH","30","LH30","1","0","D","2",11.8,31.1,NA,31.4,0,8,2.29,0.32,1.04,0.15,"26-Jul-16",1.97,0.89,0,0,NA,NA,NA,NA,NA,NA,NA,1.51054501020661,5.64800849857718,77.5,0,0.707106781186548,25.5,0.954242509439325,2.91547594742265,38.5,0.517195897949974,1.67032930884901,30.5,0.12057393120585,0.905538513813742,29,0.309630167425899,1.24096736459909,56,0.0606978403536116,0.806225774829855,58,0.472756449317212,1.57162336455017,34,0.276461804173244,1.17898261225516,54,86.0262008733624,85.5769230769231
"LH","36","LH36","1","0","D","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,NA,NA,237,NA,NA,237,NA,NA,237,NA,NA,237,NA,NA,237,NA,NA,237,NA,NA,237,NA,NA,237,NA,NA
"LH","128","LH128","1","0","D","2",10,40,NA,40.6,6,10,4.88,0.69,1.19,0.16,"26-Jul-16",4.19,1.03,0,0,NA,NA,NA,NA,NA,NA,NA,1.61909333062674,6.41092816992984,186.5,0.845098040014257,2.54950975679639,180.5,1.04139268515823,3.24037034920393,63,0.769377326076139,2.31948270094864,129,0.227886704613674,1.09087121146357,111,0.340444114840118,1.3,65,0.0644579892269184,0.812403840463596,63.5,0.715167357848458,2.16564078277077,134,0.307496037913213,1.2369316876853,69.5,85.8606557377049,86.5546218487395
"AR","6","AR6","2","0.5","A","2",18.2,28,23.1,28.4,0,7,2.8,0.45,1.07,0.18,"16-Aug-16",2.35,0.89,0,0,2016-07-23,205,0,2016-07-26,208,39,3,1.46834733041216,5.37587202228625,48,0,0.707106781186548,25.5,0.903089986991944,2.73861278752583,32,0.57978359661681,1.81659021245849,50,0.161368002234975,0.974679434480896,55.5,0.315970345456918,1.25299640861417,58,0.0718820073061254,0.824621125123532,78.5,0.525044807036845,1.68819430161341,49,0.276461804173244,1.17898261225516,54,83.9285714285714,83.1775700934579
"AR","22","AR22","2","0.5","A","2",23.8,45,30.5,47.2,5,17,6.77,1.16,2.76,0.46,"16-Aug-16",5.61,2.3,0,0,2016-07-23,205,0,2016-07-26,208,39,3,1.68304703823885,6.9065186599328,223,0.778151250383644,2.34520787991171,158,1.25527250510331,4.18330013267038,146,0.890421018800914,2.69629375254255,187,0.334453751150931,1.28840987267251,199,0.575187844927661,1.80554700852678,179,0.164352855784437,0.979795897113271,200,0.82020145948564,2.47184141886166,183,0.518513939877887,1.67332005306815,178,82.8655834564254,83.3333333333333
"AR","23","AR23","2","0.5","A","2",16,28.6,18.9,28.9,1,11,2.31,0.43,0.97,0.23,"16-Aug-16",1.88,0.74,0,0,2016-07-22,204,0,2016-07-22,204,38,0,1.47567118832443,5.42217668469038,53.5,0.301029995663981,1.22474487139159,60.5,1.07918124604762,3.39116499156263,75,0.519827993775719,1.67630546142402,33,0.155336037465062,0.964365076099295,49,0.294466226161593,1.21243556529821,51,0.0899051114393979,0.854400374531753,104.5,0.459392487759231,1.54272486205415,28,0.2405492482826,1.113552872566,43.5,81.3852813852814,76.2886597938144
"AR","50","AR50","2","0.5","A","2",17.5,32.2,24.1,33,3,16,3.26,0.56,1.34,0.21,"16-Aug-16",2.7,1.13,0,0,2016-07-23,205,0,2016-07-26,208,39,3,1.53147891704226,5.78791845139511,97.5,0.602059991327962,1.87082869338697,105,1.23044892137827,4.06201920231798,138,0.629409599102719,1.93907194296653,65,0.193124598354462,1.0295630140987,78,0.369215857410143,1.35646599662505,77,0.0827853703164501,0.842614977317636,94.5,0.568201724066995,1.78885438199983,67,0.328379603438738,1.27671453348037,76.5,82.8220858895706,84.3283582089552
"AR","51","AR51","2","0.5","A","2",12.5,34.4,24.4,35.5,3,15,5.83,0.88,2.46,0.28,"16-Aug-16",4.95,2.18,0,0,2016-07-27,209,1,2016-07-31,213,43,4,1.56229286445647,6,126,0.602059991327962,1.87082869338697,105,1.20411998265592,3.93700393700591,126.5,0.834420703681533,2.51594912508182,162,0.27415784926368,1.17473401244707,155,0.539076098792777,1.72046505340853,164.5,0.107209969647868,0.883176086632785,128,0.77451696572855,2.33452350598575,165.5,0.502427119984433,1.63707055437449,169.5,84.9056603773585,88.6178861788618
"AR","53","AR53","2","0.5","A","2",14.9,33.7,25.6,34.6,0,8,5.77,0.92,1.75,0.16,"16-Aug-16",4.85,1.59,0,0,2016-07-29,211,0,2016-08-03,216,45,5,1.55144999797288,5.92452529743945,116.5,0,0.707106781186548,25.5,0.954242509439325,2.91547594742265,38.5,0.830588668685144,2.50399680510978,161,0.28330122870355,1.1916375287813,161,0.439332693830263,1.5,112,0.0644579892269184,0.812403840463596,63.5,0.76715586608218,2.31300670124408,159,0.413299764081252,1.4456832294801,117,84.0554592720971,90.8571428571429
"AR","6","AR6","2","1","B","2",12.6,24,20,24.4,0,6,2.21,0.31,0.83,0.08,"16-Aug-16",1.9,0.75,0,0,2016-07-30,212,0,2016-08-04,217,46,5,1.40483371661994,4.98998997994986,22.5,0,0.707106781186548,25.5,0.845098040014257,2.54950975679639,23.5,0.506505032404872,1.64620776331543,28,0.117271295655764,0.9,26,0.262451089730429,1.15325625946708,40,0.0334237554869497,0.761577310586391,30.5,0.462397997898956,1.54919333848297,29.5,0.243038048686294,1.11803398874989,45,85.972850678733,90.3614457831325
"AR","22","AR22","2","1","B","1",0,7.4,NA,15,0,0,1.19,0.13,0,0,"26-Aug-16",1.06,0,0,0,NA,NA,NA,NA,NA,NA,NA,1.20411998265592,3.93700393700591,7,0,0.707106781186548,25.5,0,0.707106781186548,5.5,0.340444114840118,1.3,10,0.0530784434834197,0.793725393319377,7.5,0,0.707106781186548,5.5,0,0.707106781186548,5.5,0.313867220369153,1.24899959967968,10,0,0.707106781186548,5.5,89.0756302521009,NA
